Issue_Key,Issue_Id,Fields_Summary,Fields_Priority_Name,Fields_Priority_Id,Fields_Assignee_AccountID,Fields_Project_Key,Fields_Project_Id,Fields_Created,Fields_Status_Name,Fields_Status_Category_Key,Fields_Issue_Type_Id,Fields_Issue_Type_Name,Fields_Reporter_AccountId,Fields_Updated,Fields_Duedate,Fields_Time_Estimate,Fields_Time_Original_Estimate
SD-246,10251,"Stop SAP ECD, CRD, BID & GWD environment ",3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,17/10/2019,Done,done,10007,Sub-task,5cca25b8ab0c3c0e37e26e80,39:11.2,,,
SD-245,10250,"Start SAP ECD, CRD, BID & GWD environment",3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,17/10/2019,Done,done,10007,Sub-task,5cca25b8ab0c3c0e37e26e80,39:12.1,,,
SD-244,10249,SAP ECD Environment 18/10,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,16/10/2019,Closed,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:900bc906-f194-4128-b886-1ac286ac20af,50:14.3,,,
SD-243,10248,RE INC001712390 | test ,3 - Routine,3,,SD,10000,16/10/2019,Closed,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:6eae0c5e-66a1-4d23-b9f2-262bdf614962,02:21.4,,,
SD-242,10247,"ATTN Matt, test from Rob",3 - Routine,3,,SD,10000,16/10/2019,Closed,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:6eae0c5e-66a1-4d23-b9f2-262bdf614962,02:26.6,,,
SD-241,10246,Service Desk Ticket Edited: T20191016.0155 - ATTN ETP  - Need to build VMs on Nutanix for testing (Livestock Improvement Corporation),3 - Routine,3,5cbfd25c3d24270e75a8fa93,SD,10000,16/10/2019,Closed,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:c2d251cf-7ffa-4472-91a3-7047cc7e2d54,21:15.9,,,
SD-240,10245,SAP environments open 17/10,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,16/10/2019,Closed,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:900bc906-f194-4128-b886-1ac286ac20af,52:20.0,,,
SD-239,10244,Update load balancer,3 - Routine,3,5cbfd25c3d24270e75a8fa93,SD,10000,15/10/2019,Done,done,10007,Sub-task,5cca25b74fe7f511781d80b4,39:11.7,,,
SD-238,10243,Shutdown LICNT1BATCHP01 during NTT Cloud Maintenance,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,15/10/2019,Done,done,10006,Task,5cca25b8ab0c3c0e37e26e80,39:11.4,,,
SD-237,10242,Stop SAP Dev Servers,3 - Routine,3,5cbfd25c3d24270e75a8fa93,SD,10000,14/10/2019,Done,done,10007,Sub-task,5cbfd25c3d24270e75a8fa93,39:11.8,,,
SD-236,10241,Start SAP Dev,3 - Routine,3,,SD,10000,14/10/2019,Done,done,10007,Sub-task,5cbfd25c3d24270e75a8fa93,39:11.6,,,
